sale_date,product_id,region_id,quantity,unit_price
2025-07-16,865,2,74,4901
2025-07-24,815,2,76,879
2025-06-09,294,1,86,1769
2025-06-27,626,7,44,1590
2025-06-23,478,3,98,939
2025-03-11,792,1,6,1770
2025-04-29,870,5,7,2021
2025-07-19,818,6,94,3341
2025-05-05,713,4,79,2728
2025-06-15,945,7,33,1524
2025-07-29,318,3,56,1523
2025-04-10,198,1,4,3585
2025-05-09,248,2,100,4519
2025-03-31,589,1,21,2874
2025-08-15,533,4,98,522
2025-05-15,968,4,21,3109
2025-07-23,523,6,86,2421
2025-03-03,522,2,62,3705
2025-07-10,403,5,22,4225
2025-08-22,766,5,95,1062
2025-04-06,866,6,8,2768
2025-05-13,444,5,86,3979
2025-04-08,68,2,24,2797
2025-03-04,422,3,47,4146
2025-06-25,765,1,64,4745
2025-08-02,356,3,51,2189
2025-08-09,66,1,21,698
2025-03-14,996,2,19,3914
2025-04-30,950,5,84,1975
2025-05-28,839,3,78,3999
2025-08-24,717,3,35,3684
2025-08-08,697,3,25,3259
2025-08-24,701,1,5,3867
2025-08-16,889,4,29,2399
2025-03-15,755,2,43,3388
2025-07-22,781,4,33,1311
2025-06-03,896,6,29,4333
2025-06-27,390,6,40,4273
2025-08-09,659,3,55,846
2025-04-27,813,2,15,3271
2025-07-10,188,3,70,1243
2025-03-22,249,4,89,3698
2025-04-22,530,6,66,727
2025-07-01,390,7,14,4527
2025-05-16,455,4,87,1787
2025-06-26,611,3,28,4399
2025-06-16,234,6,88,4921
2025-03-12,681,3,23,1549
2025-07-07,596,3,18,1833
2025-04-01,500,5,36,1282
2025-05-12,942,1,65,1975
2025-06-11,201,2,83,2197
2025-05-30,983,2,6,3122
2025-06-24,518,7,86,1328
2025-06-28,118,1,9,1498
2025-07-21,662,7,85,4048
2025-08-08,345,7,77,2330
2025-05-05,358,5,90,2487
2025-04-29,625,2,67,3473
2025-08-16,756,7,42,3713
2025-03-09,175,2,51,4920
2025-04-20,333,4,71,1533
2025-04-23,231,7,82,4698
2025-04-25,73,6,98,1944
2025-06-20,211,5,74,1073
2025-08-08,616,7,40,812
2025-04-06,917,4,86,529
2025-05-28,141,2,90,2654
2025-05-10,615,6,44,2173
2025-06-19,386,7,37,674
2025-05-29,81,6,65,4825
2025-05-29,854,6,90,4417
2025-06-04,992,6,8,1249
2025-07-16,412,5,19,2686
2025-03-29,433,1,26,851
2025-08-04,884,6,18,3242
2025-03-09,69,6,81,1942
2025-04-21,286,6,25,4671
2025-06-07,251,7,52,522
2025-07-14,105,2,58,1210
2025-05-20,112,6,66,4829
2025-07-18,841,2,2,3199
2025-03-16,286,2,14,731
2025-04-11,682,1,35,4957
2025-07-25,691,2,38,3343
2025-03-28,273,5,97,2362
2025-05-19,656,1,1,1642
2025-05-26,674,4,95,3708
2025-07-06,647,4,16,1453
2025-06-06,1000,1,37,4828
2025-04-24,896,3,7,631
2025-04-19,17,4,44,3932
2025-08-22,256,6,40,2234
2025-06-28,518,3,61,4684
2025-07-18,1,5,91,2139
2025-04-16,132,4,86,4238
2025-06-11,785,3,66,877
2025-03-14,143,1,22,2636
2025-04-22,297,3,63,3404
2025-04-13,890,2,72,4258
2025-05-22,919,2,42,575
2025-05-24,832,3,98,4614
2025-03-17,422,4,90,3897
2025-04-16,542,6,42,2346
2025-08-22,307,4,48,2754
2025-06-25,955,6,6,2394
2025-05-17,920,2,30,3546
2025-07-01,752,6,69,3198
2025-06-11,626,1,8,3858
2025-08-02,631,3,88,1639
2025-03-24,921,1,88,4688
2025-07-15,389,6,75,1204
2025-03-13,637,2,30,507
2025-06-11,599,7,25,2074
2025-05-25,725,4,12,2075
2025-06-24,607,4,26,1025
2025-05-28,666,6,1,3241
2025-07-12,170,5,13,3530
